#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-22 08:08:52
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-09-22 08:08:52 GET / - 51.15.60.255 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Safari/537.36 - 200 8209 326
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-22 09:07:34
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-09-22 09:07:34 GET / - 202.175.137.167 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko http://www.google.co.nz/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwiqhOTOuLjWAhUMTrwKHcH4B7wQ_BcICjAA&url=http%3A%2F%2Fwww.kaiparatavern.co.nz%2F&usg=AFQjCNFqj_FU1ADEAtE0wdC7HfC_GXW9Aw 200 34836 465
2017-09-22 09:07:34 GET /css/jQuery.lightninBox.css - 202.175.137.167 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 5227 305
2017-09-22 09:07:34 GET /css/team.css - 202.175.137.167 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 3537 291
2017-09-22 09:07:34 GET /js/modernizr.custom.js - 202.175.137.167 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 8758 321
2017-09-22 09:07:34 GET /images/logo.png - 202.175.137.167 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 9464 331
2017-09-22 09:07:35 GET /css/font-awesome.min.css - 202.175.137.167 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 29179 303
