#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-25 07:52:27
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-05-25 07:52:27 POST /index.php - 122.227.189.223 HTTP/1.1 Mozilla/4.0+(compatible;+Win32;+WinHttp.WinHttpRequest.5) - 404 1405 464
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-25 23:07:35
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-05-25 23:07:34 GET / - 118.93.55.122 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_0_2+like+Mac+OS+X)+AppleWebKit/602.1.50+(KHTML,+like+Gecko)+Version/10.0+Mobile/14A456+Safari/602.1 https://www.google.co.nz/ 200 8209 410
2017-05-25 23:07:35 GET /css/team.css - 118.93.55.122 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_0_2+like+Mac+OS+X)+AppleWebKit/602.1.50+(KHTML,+like+Gecko)+Version/10.0+Mobile/14A456+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 1027 353
2017-05-25 23:07:35 GET /css/jQuery.lightninBox.css - 118.93.55.122 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_0_2+like+Mac+OS+X)+AppleWebKit/602.1.50+(KHTML,+like+Gecko)+Version/10.0+Mobile/14A456+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 1481 367
2017-05-25 23:07:35 GET /css/style.css - 118.93.55.122 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_0_2+like+Mac+OS+X)+AppleWebKit/602.1.50+(KHTML,+like+Gecko)+Version/10.0+Mobile/14A456+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 11722 354
2017-05-25 23:07:35 GET /css/font-awesome.min.css - 118.93.55.122 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_0_2+like+Mac+OS+X)+AppleWebKit/602.1.50+(KHTML,+like+Gecko)+Version/10.0+Mobile/14A456+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 8118 365
2017-05-25 23:07:35 GET /js/modernizr.custom.js - 118.93.55.122 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_0_2+like+Mac+OS+X)+AppleWebKit/602.1.50+(KHTML,+like+Gecko)+Version/10.0+Mobile/14A456+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 4923 348
