#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-03 07:49:53
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-05-03 07:49:53 GET / - 40.77.167.92 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 8209 274
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-03 08:43:29
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-05-03 08:43:29 GET / - 49.224.216.63 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SAMSUNG+SM-G930F+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/4.0+Chrome/44.0.2403.133+Mobile+Safari/537.36 https://www.google.co.nz/ 200 8209 587
2017-05-03 08:43:29 GET /css/team.css - 49.224.216.63 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SAMSUNG+SM-G930F+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/4.0+Chrome/44.0.2403.133+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1027 519
2017-05-03 08:43:29 GET /css/jQuery.lightninBox.css - 49.224.216.63 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SAMSUNG+SM-G930F+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/4.0+Chrome/44.0.2403.133+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1481 533
2017-05-03 08:43:29 GET /js/main.js - 49.224.216.63 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SAMSUNG+SM-G930F+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/4.0+Chrome/44.0.2403.133+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 871 502
2017-05-03 08:43:29 GET /js/cbpFWTabs.js - 49.224.216.63 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SAMSUNG+SM-G930F+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/4.0+Chrome/44.0.2403.133+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1208 507
2017-05-03 08:43:29 GET /js/boot_slider.js - 49.224.216.63 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SAMSUNG+SM-G930F+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/4.0+Chrome/44.0.2403.133+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 2045 509
