#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-02 07:03:27
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-02 07:03:27 GET / - 167.99.211.55 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.2;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.80+Safari/537.36 - 200 34855 280
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-02 09:08:34
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-02 09:08:33 GET / - 111.69.137.43 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.140+Safari/537.36+Edge/17.17134 https://www.google.com/ 200 34836 409
2019-06-02 09:08:33 GET /css/jQuery.lightninBox.css - 111.69.137.43 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.140+Safari/537.36+Edge/17.17134 http://www.kaiparatavern.co.nz/ 200 5227 368
2019-06-02 09:08:33 GET /css/team.css - 111.69.137.43 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.140+Safari/537.36+Edge/17.17134 http://www.kaiparatavern.co.nz/ 200 3537 354
2019-06-02 09:08:34 GET /css/font-awesome.min.css - 111.69.137.43 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.140+Safari/537.36+Edge/17.17134 http://www.kaiparatavern.co.nz/ 200 29179 366
2019-06-02 09:08:34 GET /images/logo.png - 111.69.137.43 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.140+Safari/537.36+Edge/17.17134 http://www.kaiparatavern.co.nz/ 200 9464 386
2019-06-02 09:08:34 GET /js/modernizr.custom.js - 111.69.137.43 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.140+Safari/537.36+Edge/17.17134 http://www.kaiparatavern.co.nz/ 200 8758 349
