#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-26 17:13:01
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-26 17:13:01 GET / - 209.17.96.242 HTTP/1.1 Mozilla/5.0+(compatible;+Nimbostratus-Bot/v1.3.2;+http://cloudsystemnetworks.com) - 200 37853 138
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-26 19:51:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-26 19:51:03 GET /css/contact-buttons.css - 103.254.134.8 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+12_1_1+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/12.0+Mobile/15E148+Safari/604.1 http://ngateapizza.co.nz/ 404 1405 352
2019-02-26 19:51:03 GET /anijs-min.js - 103.254.134.8 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+12_1_1+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/12.0+Mobile/15E148+Safari/604.1 http://ngateapizza.co.nz/ 404 1405 326
2019-02-26 19:51:03 GET /helpers/scrollreveal/anijs-helper-scrollreveal-min.js - 103.254.134.8 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+12_1_1+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/12.0+Mobile/15E148+Safari/604.1 http://ngateapizza.co.nz/ 404 1405 367
2019-02-26 19:51:03 GET / - 103.254.134.8 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+12_1_1+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/12.0+Mobile/15E148+Safari/604.1 - 200 37853 368
2019-02-26 19:51:03 GET /fonts/glyphicons-halflings-regular.woff - 103.254.134.8 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+12_1_1+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/12.0+Mobile/15E148+Safari/604.1 http://ngateapizza.co.nz/ 404 1405 353
2019-02-26 19:51:03 GET /js/jquery.contact-buttons.js - 103.254.134.8 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+12_1_1+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/12.0+Mobile/15E148+Safari/604.1 http://ngateapizza.co.nz/ 404 1405 342
