#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-27 09:18:49
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-27 09:18:49 GET / - 42.236.99.178 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://www.crossroadsbar.co.nz/ 200 6996 327
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-27 09:40:30
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-27 09:40:30 HEAD / - 35.205.225.169 HTTP/1.1 - - 200 248 63
2019-06-27 09:40:32 GET / - 35.205.225.169 HTTP/1.1 - - 200 23501 62
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-27 12:25:15
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-27 12:25:15 GET /robots.txt - 66.249.79.194 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 237
2019-06-27 12:25:15 GET / - 66.249.79.222 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 6996 300
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-06-27 16:00:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-27 16:00:22 GET / - 35.195.200.60 HTTP/1.1 okhttp/3.14.2 - 200 6996 123
2019-06-27 16:09:10 GET /robots.txt - 157.55.39.15 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 256
2019-06-27 16:09:14 GET /index.html - 207.46.13.28 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 6999 288
