#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-16 07:32:19
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-16 07:32:18 GET / - 31.13.190.254 HTTP/1.0 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://crossroadsbar.co.nz/ 200 23184 315
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-16 13:14:05
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-16 13:14:05 GET / - 209.17.96.146 HTTP/1.1 Mozilla/5.0+(compatible;+Nimbostratus-Bot/v1.3.2;+http://cloudsystemnetworks.com) - 200 23501 140
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-16 19:08:26
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-16 19:08:26 GET / - 78.85.203.34 HTTP/1.1 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en-US;+rv:1.9.1.6)+Gecko/20091201+Firefox/3.5.6+(.NET+CLR+2.0.50727;+.NET+CLR+3.0.4506.2152;+.NET+CLR+3.5.30729) - 200 23501 354
2019-08-16 19:14:59 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 202
2019-08-16 19:15:03 GET /images/s2.jpg - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexImages/3.0;++http://yandex.com/bots) - 304 209 289
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-16 23:06:54
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-16 23:06:54 GET / - 42.236.10.71 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://www.crossroadsbar.co.nz/ 200 6996 327
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-17 01:01:18
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-17 01:01:18 GET / - 118.92.120.106 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+INE-LX2)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/76.0.3809.111+Mobile+Safari/537.36 https://www.google.co.nz/ 200 6996 478
2019-08-17 01:01:18 GET /css/iconeffects.css - 118.92.120.106 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+INE-LX2)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/76.0.3809.111+Mobile+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 3470 373
