#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-28 12:30:46
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-09-28 12:30:46 POST /index.php - 185.170.42.18 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/56.0.2924.87+Safari/537.36 - 404 1405 615
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-28 12:57:25
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-09-28 12:57:25 GET / - 43.252.228.133 HTTP/1.1 - - 200 23480 73
2017-09-28 12:57:25 GET /xmlrpc.php - 43.252.228.133 HTTP/1.1 - - 404 1405 59
2017-09-28 12:57:25 HEAD /wp-login.php - 43.252.228.133 HTTP/1.1 - - 404 160 62
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-28 13:57:21
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
