#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-03-10 07:58:19
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-03-10 07:58:18 HEAD / - 109.201.152.23 HTTP/1.1 Mozilla/5.0+(compatible;+Uptimebot/1.0;++http://www.uptime.com/uptimebot) https://uptime.com/palacehotel.co.nz 200 267 210
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-03-10 08:30:32
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-03-10 08:30:31 GET / - 118.92.57.253 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+Trident/7.0;+Touch;+rv:11.0)+like+Gecko http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwj8sImklPfgAhXWWysKHUieDBkQFjAAegQIFRAC&url=http%3A%2F%2Fwww.palacehotel.co.nz%2F&usg=AOvVaw19YxQUEXm66SXnl4_GRoj8 200 13738 462
2019-03-10 08:30:35 GET /js/menu.js - 118.92.57.253 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+Trident/7.0;+Touch;+rv:11.0)+like+Gecko http://www.palacehotel.co.nz/ 200 2093 310
2019-03-10 08:30:36 GET /js/modernizr.js - 118.92.57.253 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+Trident/7.0;+Touch;+rv:11.0)+like+Gecko http://www.palacehotel.co.nz/ 200 51615 315
2019-03-10 08:30:36 GET /js/animated-headline.js - 118.92.57.253 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+Trident/7.0;+Touch;+rv:11.0)+like+Gecko http://www.palacehotel.co.nz/ 200 5815 323
2019-03-10 08:30:36 GET /css/style.css - 118.92.57.253 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+Trident/7.0;+Touch;+rv:11.0)+like+Gecko http://www.palacehotel.co.nz/ 200 23669 293
2019-03-10 08:30:38 GET /js/isotope.pkgd.min.js - 118.92.57.253 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+Trident/7.0;+Touch;+rv:11.0)+like+Gecko http://www.palacehotel.co.nz/ 200 38008 322
