#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-06 07:25:44
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-06 07:25:44 GET / - 185.156.177.59 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.2;+WOW64;+x64)+AppleWebKit/530.65.12+(KHTML,+like+Gecko)+Chrome/55.1.5310.0048+Safari/532.04+OPR/41.9.4598.9226 http://ngateahotel.co.nz/ 200 13748 304
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-06 08:30:23
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-06 08:30:23 HEAD /upgrade-network.php - 47.106.157.151 HTTP/1.1 - - 404 0 109
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-06 08:53:09
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-06 09:47:57 GET /images/gallery/gallery-1.jpg - 66.249.82.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16100 549
2018-06-06 09:47:57 GET /js/jquery.form.min.js - 66.249.82.73 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 11390 506
2018-06-06 09:47:57 GET /images/events/event-4.jpg - 66.249.82.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16101 546
2018-06-06 09:47:57 GET /js/jquery.isotope.min.js - 66.249.82.219 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16218 509
2018-06-06 09:47:57 GET /js/prettyphoto/css/prettyPhoto.css - 66.249.82.150 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 20163 534
2018-06-06 09:47:57 GET /js/jquery.flexslider-min.js - 66.249.82.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 21685 512
2018-06-06 09:47:57 GET /images/logo-big.png - 66.249.82.219 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16600 540
2018-06-06 09:47:57 GET /images/blog/blog-1.jpg - 66.249.82.219 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14403 543
2018-06-06 09:47:57 GET /js/jquery.nicescroll.min.js - 66.249.82.219 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 57934 512
2018-06-06 09:47:57 GET /js/prettyphoto/js/jquery.prettyPhoto.js - 66.249.82.151 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 22334 524
2018-06-06 09:47:57 GET /css/bootstrap/js/bootstrap.min.js - 66.249.82.219 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 27990 518
2018-06-06 09:47:57 GET /images/gallery/gallery-2.jpg - 66.249.82.150 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16758 549
2018-06-06 09:47:57 GET /images/gallery/gallery-3.jpg - 66.249.82.150 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14699 549
2018-06-06 09:47:59 GET /images/gallery/gallery-4.jpg - 66.249.82.71 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14402 549
2018-06-06 09:47:59 GET /images/events/event-1.jpg - 66.249.82.151 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 608557 546
2018-06-06 09:47:59 GET /images/events/event-3.jpg - 66.249.82.219 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 598125 546
2018-06-06 09:47:59 GET /images/team/member-1.jpg - 66.249.82.220 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 593475 545
2018-06-06 09:47:59 GET /images/gallery/gallery-5.jpg - 66.249.82.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 18116 549
2018-06-06 09:47:59 GET /images/gallery/gallery-6.jpg - 66.249.82.151 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 20196 549
2018-06-06 09:47:59 GET /images/team/member-2.jpg - 66.249.82.151 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 594701 545
2018-06-06 09:47:59 GET /images/team/member-3.jpg - 66.249.82.151 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 587295 545
2018-06-06 09:48:00 GET /images/icon-facebook.png - 66.249.82.151 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1874 554
2018-06-06 09:48:00 GET /images/bkgs/section-bkg.jpg - 66.249.82.150 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 130166 548
2018-06-06 09:48:00 GET /images/toggle-plus.png - 66.249.82.150 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1206 552
2018-06-06 09:48:00 GET /css/bootstrap/fonts/glyphicons-halflings-regular.woff - 66.249.82.220 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 404 1405 611
2018-06-06 09:48:00 GET /images/bkgs/home-bkg.jpg - 66.249.82.150 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 275939 545
2018-06-06 09:48:01 GET /css/bootstrap/fonts/glyphicons-halflings-regular.ttf - 66.249.82.220 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 200 29775 610
2018-06-06 09:48:03 GET /images/toggle-minus.png - 66.249.82.220 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1196 553
2018-06-06 09:48:03 GET /images/flexslider-arrows.png - 66.249.82.151 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1827 558
2018-06-06 09:48:05 GET /css/bootstrap/fonts/glyphicons-halflings-regular.ttf - 118.93.26.84 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 200 29775 545
2018-06-06 09:48:05 GET /images/favicon.ico - 66.249.82.220 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 404 1405 539
2018-06-06 09:51:13 GET /js/prettyphoto/images/prettyPhoto/default/sprite_y.png - 66.249.82.152 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/js/prettyphoto/css/prettyPhoto.css 200 1410 609
2018-06-06 09:51:13 GET /js/prettyphoto/images/prettyPhoto/default/sprite_x.png - 66.249.82.152 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/js/prettyphoto/css/prettyPhoto.css 200 1344 609
2018-06-06 09:51:13 GET /js/prettyphoto/images/prettyPhoto/default/loader.gif - 66.249.82.218 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/js/prettyphoto/css/prettyPhoto.css 200 6579 607
2018-06-06 09:51:13 GET /js/prettyphoto/images/prettyPhoto/default/sprite.png - 66.249.82.152 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/js/prettyphoto/css/prettyPhoto.css 200 6930 607
2018-06-06 09:51:13 GET /js/prettyphoto/images/prettyPhoto/default/default_thumb.png - 66.249.82.151 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/js/prettyphoto/css/prettyPhoto.css 200 1785 614
2018-06-06 09:51:13 GET /js/prettyphoto/images/prettyPhoto/light_rounded/btnNext.png - 66.249.82.151 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-A310Y+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.68+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/js/prettyphoto/css/prettyPhoto.css 200 1659 614
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-06 10:13:48
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-06 10:13:48 GET /images/favicon.ico - 124.197.14.179 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.1;+SAMSUNG+SM-N950F+Build/NMF26X)+AppleWebKit/537.36+(KHTML,+like+Gecko)+SamsungBrowser/6.4+Chrome/56.0.2924.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 404 1405 428
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-06 10:59:32
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-06 10:59:31 GET /images/logo-big.png - 173.252.123.131 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 200 16600 222
2018-06-06 10:59:34 GET /images/logo-big.png - 69.63.188.213 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 200 16600 222
2018-06-06 10:59:36 GET /images/logo-big.png - 173.252.123.130 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 200 16600 222
2018-06-06 11:00:56 GET / - 203.109.200.206 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_3+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Mobile/15E302+[FBAN/FBIOS;FBAV/174.0.0.48.98;FBBV/110921384;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/11.3.1;FBSS/2;FBCR/SparkNZ;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/111869219] http://m.facebook.com 200 103142 540
2018-06-06 11:00:57 GET /images/logo-small.png - 203.109.200.206 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_3+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Mobile/15E302+[FBAN/FBIOS;FBAV/174.0.0.48.98;FBBV/110921384;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/11.3.1;FBSS/2;FBCR/SparkNZ;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/111869219] - 200 6018 509
2018-06-06 11:00:57 GET /images/logo-big.png - 203.109.200.206 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_3+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Mobile/15E302+[FBAN/FBIOS;FBAV/174.0.0.48.98;FBBV/110921384;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/11.3.1;FBSS/2;FBCR/SparkNZ;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/111869219] - 200 16600 507
2018-06-06 11:00:57 GET /images/menu/menu-1.jpg - 203.109.200.206 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_3+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Mobile/15E302+[FBAN/FBIOS;FBAV/174.0.0.48.98;FBBV/110921384;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/11.3.1;FBSS/2;FBCR/SparkNZ;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/111869219] - 200 4045 510
2018-06-06 11:00:59 GET /images/blog/blog-1.jpg - 203.109.200.206 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_3+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Mobile/15E302+[FBAN/FBIOS;FBAV/174.0.0.48.98;FBBV/110921384;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/11.3.1;FBSS/2;FBCR/SparkNZ;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/111869219] - 200 14403 510
2018-06-06 11:01:10 GET /images/events/event-1.jpg - 203.109.200.206 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_3+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Mobile/15E302+[FBAN/FBIOS;FBAV/174.0.0.48.98;FBBV/110921384;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/11.3.1;FBSS/2;FBCR/SparkNZ;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/111869219] - 200 608557 513
2018-06-06 11:01:15 GET /images/events/event-2.jpg - 203.109.200.206 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_3+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Mobile/15E302+[FBAN/FBIOS;FBAV/174.0.0.48.98;FBBV/110921384;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/11.3.1;FBSS/2;FBCR/SparkNZ;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/111869219] - 200 595360 513
2018-06-06 11:01:30 GET /images/events/event-3.jpg - 203.109.200.206 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_3+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Mobile/15E302+[FBAN/FBIOS;FBAV/174.0.0.48.98;FBBV/110921384;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/11.3.1;FBSS/2;FBCR/SparkNZ;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/111869219] - 200 598125 513
2018-06-06 11:01:31 GET /images/events/event-4.jpg - 203.109.200.206 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_3+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Mobile/15E302+[FBAN/FBIOS;FBAV/174.0.0.48.98;FBBV/110921384;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/11.3.1;FBSS/2;FBCR/SparkNZ;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/111869219] - 200 16101 513
2018-06-06 11:02:10 GET /images/team/member-1.jpg - 203.109.200.206 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_3+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Mobile/15E302+[FBAN/FBIOS;FBAV/174.0.0.48.98;FBBV/110921384;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/11.3.1;FBSS/2;FBCR/SparkNZ;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/111869219] - 200 593475 512
2018-06-06 11:02:22 GET /images/team/member-3.jpg - 203.109.200.206 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_3+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Mobile/15E302+[FBAN/FBIOS;FBAV/174.0.0.48.98;FBBV/110921384;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/11.3.1;FBSS/2;FBCR/SparkNZ;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/111869219] - 200 587295 512
