#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-10 13:20:56
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-10 13:20:55 GET / - 95.45.254.123 HTTP/1.1 Wget/1.17.1+(linux-gnu) - 200 103142 144
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-10 15:07:09
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-10 15:07:08 GET /robots.txt - 216.244.66.196 HTTP/1.1 Mozilla/5.0+(compatible;+DotBot/1.1;+http://www.opensiteexplorer.org/dotbot,+help@moz.com) - 404 1405 228
2017-11-10 15:19:42 GET / - 216.244.66.196 HTTP/1.1 Mozilla/5.0+(compatible;+DotBot/1.1;+http://www.opensiteexplorer.org/dotbot,+help@moz.com) - 200 103142 218
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-10 20:13:54
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-10 20:13:54 GET / - 49.224.254.117 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.2;+Vodafone+785+Build/JDQ39)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/53.0.2785.124+Mobile+Safari/537.36 android-app://com.google.android.googlequicksearchbox 200 13729 487
2017-11-10 20:13:54 GET /css/colors.css - 49.224.254.117 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.2;+Vodafone+785+Build/JDQ39)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/53.0.2785.124+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 3308 391
2017-11-10 20:13:54 GET /style.css - 49.224.254.117 HTTP/1.1 Mozilla/5.0+(Linux;+Android+4.2.2;+Vodafone+785+Build/JDQ39)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/53.0.2785.124+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5866 386
