#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-25 08:10:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-25 08:10:54 GET / - 180.76.15.136 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 304 229 308
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-25 09:42:32
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-11-25 09:42:32 GET / - 119.224.31.15 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+ZTE+Blade+A462+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.84+Mobile+Safari/537.36 https://www.google.co.nz/ 200 13729 454
2017-11-25 09:42:33 GET /css/colors.css - 119.224.31.15 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+ZTE+Blade+A462+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.84+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 3308 375
2017-11-25 09:42:33 GET /js/prettyphoto/css/prettyPhoto.css - 119.224.31.15 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+ZTE+Blade+A462+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.84+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 4101 395
2017-11-25 09:42:33 GET /style.css - 119.224.31.15 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+ZTE+Blade+A462+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.84+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5866 370
2017-11-25 09:42:34 GET /images/logo-big.png - 119.224.31.15 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+ZTE+Blade+A462+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.84+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16600 401
2017-11-25 09:42:34 GET /css/bootstrap/css/bootstrap.min.css - 119.224.31.15 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+ZTE+Blade+A462+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.84+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 22905 396
