#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-08 08:53:04
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-08 08:53:04 GET / - 35.162.70.167 HTTP/1.1 Magic+Browser - 200 13729 139
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-08 11:30:15
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-08 11:30:15 GET / - 112.66.97.169 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+9_1+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13B143+Safari/601.1 - 200 103142 340
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-08 11:50:27
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-08 11:50:27 GET / - 58.19.57.90 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+9_1+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13B143+Safari/601.1 - 200 103142 340
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-08 14:52:48
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-08 14:52:48 GET / - 111.162.140.228 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+9_1+like+Mac+OS+X)+AppleWebKit/601.1.46+(KHTML,+like+Gecko)+Version/9.0+Mobile/13B143+Safari/601.1 - 200 13729 340
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-08 16:08:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
